업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
제일여객,9711B,광역,진관차고지,양재동,1,1,0,0,0,1,71,180,5,2,2,20,30,0615,1805
흥안운수,N13상계,심야,상계주공7단지,송파공영차고지,3,3,0,0,3,0,75,240,1,0,3,40,45,0000,0120
한국brt자동차,N13송파,심야,송파공영차고지,상계주공7단지,3,3,0,0,3,0,75,240,1,0,3,40,45,0000,0120
우신운수,N15사당,심야,우이동도선사입구,남태령부대,3,3,0,0,3,0,76,240,1,0,3,40,45,2400,0120
동아운수,N15우이,심야,우이동성원아파트,전원마을,3,3,0,0,3,0,76,240,1,0,3,40,45,2400,0120
서울교통네트웍,N16도봉,심야,도봉차고지,온수동차고지,3,3,0,0,3,0,76,240,1,0,3,40,45,0010,0130
오케이버스,N16온수,심야,온수동차고지,도봉산공영차고지,3,3,0,0,3,0,76,240,1,0,3,40,45,0020,0140
다모아자동차,N26강서,심야,강서공영차고지,중랑공영차고지,3,3,0,0,3,0,70,220,1,0,3,35,40,0000,0115
메트로버스,N26중랑,심야,중랑공영차고지,강서공영차고지,3,3,0,0,3,0,70,220,1,0,3,35,40,0000,0115
서울승합,N30,심야,강동공영차고지,서울역환승센터,3,3,0,0,3,0,48,135,2,0,6,45,50,2340,0340
한국brt자동차,N37송파,심야,송파공영차고지,진관공영차고지,3,3,0,0,3,0,73,220,1,0,3,35,40,0000,0115
제일여객,N37진관,심야,진관공영차고지,송파공영차고지,3,3,0,0,3,0,73,220,1,0,3,35,40,0000,0115
삼화상운,N61상계,심야,상계주공7단지,양천공영차고지,4,4,0,0,4,0,89,280,1,0,4,30,35,2350,0350
관악교통,N61양천,심야,양천공영차고지,상계주공7단지,4,4,0,0,4,0,89,280,1,0,4,30,35,2350,0350
경성여객,N62면목,심야,면목동차고지,양천공영차고지,3,3,0,0,3,0,72,240,1,0,3,40,40,2340,0100
도원교통,N62양천,심야,양천공영차고지,면목동차고지,3,3,0,0,3,0,70,230,1,0,3,40,40,0000,0120
