업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
송파상운,3318,지선,강동차고지,마천동,8,8,0,0,8,0,46,175,6,0,44,11,14,0430,2310
진화운수,3319,지선,장지공영차고지,잠실역7번출구,9,8,1,0,8,0,23,90,10,5,80,13,20,0430,2330
서울승합,3321,지선,강동공영차고지,강동구청,5,5,0,0,5,0,23,95,9,0,47,15,20,0430,2340
송파상운,3321,지선,강동공영차고지,강동구청,2,2,0,0,2,0,24,95,9,0,19,14,19,0430,2340
한서교통,3322,지선,송파차고지,잠실종합운동장,20,19,1,0,18,1,27,110,8,4,148,6,10,0430,2310
서울승합,3411,지선,강동공영차고지,삼성역,18,18,0,0,18,0,35,130,7,4,126,8,15,0430,2320
서울승합,3412,지선,강동공영차고지,우면동,25,24,1,0,23,1,63,220,4,2,94,10,15,0350,2220
서울승합,3413,지선,수서경찰서,강동공영차고지,27,25,2,1,24,1,42,150,6,3,158,6,8,0430,2310
신흥기업,3414,지선,오금동,고속터미널,19,18,1,0,16,2,29,123,7,4,120,6,14,0430,2300
송파상운,3416,지선,마천동,수서역,10,10,0,0,10,0,23,100,10,0,100,10,14,0440,2330
진화운수,3417,지선,장지공영차고지,삼성역,24,22,2,1,20,2,25,100,9,5,199,4,8,0430,2330
진화운수,3422,지선,장지공영차고지,고속터미널,19,16,3,0,15,1,40,180,5,3,78,10,16,0430,2220
남성교통,3425,지선,송파공영차고지,삼성역,2,2,0,0,2,0,28,100,8,4,16,10,15,0400,2230
동성교통,3425,지선,송파공영차고지,삼성역,10,10,0,0,9,1,28,100,8,4,76,10,15,0400,2230
서울버스,3426,지선,서울버스종점,청담동,22,20,2,0,18,2,37,145,7,3,123,6,12,0420,2300
대흥교통,4211,지선,염곡동차고지,국회의사당,16,15,1,0,15,0,33,145,7,0,94,10,18,0400,2300
우신운수,4212,지선,사당동,중곡3동,30,29,1,0,25,4,35,160,7,4,178,5,12,0400,2300
우신버스,4319,지선,전원마을,잠실역,5,4,1,0,4,0,35,160,7,4,28,9,15,0430,2300
우신운수,4319,지선,전원마을,잠실역,17,16,1,0,13,3,35,160,7,4,103,9,15,0430,2300
도선여객,4412,지선,일원동,개포동차고지,29,28,1,0,26,2,38,195,5,3,136,5,12,0430,2250
남성교통,4419,지선,송파구 송파차고지,강남구 압구정동,27,26,1,0,23,3,58,190,5,3,124,5,12,0400,2300
도선여객,4432,지선,개포동,신원동,14,13,1,0,13,0,25,90,10,6,130,9,12,0420,2320
정평운수,4433,지선,대치역,양재역,8,8,0,0,7,1,12,60,20,10,150,6,9,0555,2340
도선여객,4435,지선,개포동차고지,사당역,10,9,1,0,9,0,29,110,9,0,78,12,18,0420,2330
신인운수,5012,지선,가산동,용산역,23,21,2,0,19,2,45,170,5,3,107,8,15,0430,2240
범일운수,5413,지선,시흥,고속터미널,29,26,3,0,24,2,36,144,7,4,164,5,9,0420,2310
한남여객,5511,지선,서울대,중앙대,15,14,1,0,14,0,18,78,11,0,160,6,10,0530,2330
한남여객,5513,지선,서울대,관악드림타운,8,7,1,0,7,0,15,60,15,8,105,8,15,0530,2330
관악교통,5515,지선,금호아파트,청림동현대아파트,5,5,0,0,4,1,11,60,16,8,72,6,8,0530,2330
한남여객,5515,지선,금호아파트,청림동현대아파트,8,8,0,0,7,1,11,60,16,8,120,6,8,0530,2330
한남여객,5516,지선,서울대,노량진,20,19,1,0,16,3,29,120,8,4,140,8,10,0500,2300
한남여객,5517,지선,시흥2동벽산아파트1단지,중앙대,16,16,0,0,14,2,37,155,6,3,90,9,15,0430,2230
관악교통,5519,지선,용천사,우방아파트,6,6,0,0,5,1,9,60,16,8,88,10,16,0600,2325
보성운수,5523,지선,서울대입구역,난곡종점,10,9,1,0,8,1,12,60,16,8,132,7,13,0430,2320
오케이버스,5524,지선,난향동차고지,중앙대학교,29,28,1,1,25,3,35,155,6,3,162,5,10,0400,2230
범일운수,5525,지선,시흥동,보라매공원,7,6,1,0,6,0,16,68,13,7,78,12,18,0450,2320
신인운수,5528,지선,가산동,사당역,21,20,1,0,18,2,34,140,7,4,125,8,15,0430,2250
우신버스,5530,지선,군포공영차고지,사당역,29,27,2,0,23,4,56,200,5,4,126,7,12,0440,2250
